gene_short_name,NIL_6h_FPKM,NIL_12h_FPKM,NIL_24h_FPKM
TAN1,49.7433,47.1564,47.381
SHE10,235.919,278.54,246.76
VID30,37.9208,16.4423,70.3411
MTC3,103.871,67.6399,169.497
VRG4,140.116,137.076,80.4327
FRA2,456.373,747.147,233.002
KIP3,21.1215,16.7369,28.4136
CLG1,367.148,290.889,520.574
VAM7,27.4129,25.0157,34.6437
NCS6,73.386,91.0797,57.887
YPT32,118.93,115.383,139.992
MIG2,33.6441,21.3381,47.7955
SIP2,109.368,7.53896,251.937
SPT16,158.94,158.314,182.005
POX1,38.6758,3.23324,88.0172
tK(UUU)G1,0,0,0
ARO8,1311.38,1892.06,992.205
tK(CUU)G1,0,0,0
YIP4,137.427,163.177,134.487
MDS3,27.4376,15.3022,45.0417
DSD1,120.988,53.2295,233.788
GCN1,29.9652,28.7032,31.1254
IME4,86.3316,43.4536,153.554
COX13,1336.76,854.401,2233.98
GTS1,140.521,148.267,161.004
ATG1,102.607,35.8459,203.298
MPT5,67.6111,55.8598,96.6371
BUD13,43.5558,55.522,41.112
NUP49,76.8353,92.0591,64.9149
ROK1,56.9485,76.8241,33.9106
SUA5,65.4728,75.3073,56.0115
HUR1,39.2392,34.0428,43.69
CUP2,42.6398,15.8933,78.521
SUT1,19.753,28.3253,15.2483
AIM14,89.1788,78.2629,117.552
YGL159W,65.2699,94.2042,49.2291
tL(CAA)G1,0,0,0
RCK1,2.6907,2.49215,3.50514
ARI1,67.5887,98.2578,28.6985
AMS1,50.6405,20.0602,97.7703
CDC43,99.3905,108.627,107.313
PEX14,122.946,173.656,97.1541
NUT1,48.5335,57.7599,47.1102
ARO2,667.43,897.553,487.239
TIP20,47.4766,50.2696,52.9293
HUL5,78.623,82.7019,93.4498
FLC3,74.1042,67.7851,93.7081
SEC27,124.402,151.485,106.997
RPL1B,712.242,598.541,234.053
PCL10,44.4426,21.5121,78.4548
ITC1,28.9527,30.381,31.604
CEG1,113.787,161.465,90.6141
SCS3,40.3618,22.9296,63.4252
MET13,171.442,238.456,96.1013
RPS2,1394.42,1085.7,316.591
COQ8,55.3007,67.7006,52.6539
YGL117W,1173.67,1289.24,1379.79
CDC20,49.7015,30.1515,78.7204
SNF4,79.0261,67.8989,84.9494
YGL114W,169.243,217.603,162.851
SLD3,21.6147,15.9938,29.0564
NSA1,97.519,116.222,88.0991
MLC1,455.481,665.282,270.614
ARC1,380.489,514.5,230.594
RPL28,1610.87,1449.38,507.916
YGL101W,168.811,293.459,84.4095
SEH1,138.527,172.197,118.823
LSG1,48.0187,60.8483,32.9955
snR82,85.4776,147.671,46.28
USE1,78.1969,79.0686,96.2838
tH(GUG)G2,0,0,0
SRM1,115.19,147.188,83.3166
TOS8,81.1063,63.1068,124.383
SOE1,0,0,0
SPC105,20.483,14.1914,28.0845
NUP145,41.8939,45.2712,39.8462
LIF1,39.6197,35.402,52.8874
snR10,97.2378,62.4635,157.984
MAD1,43.0512,51.1318,40.634
LCL3,73.3416,106.215,55.5569
SCY1,21.3522,18.2467,25.363
YGL082W,133.954,194.778,93.8769
YGL081W,7.1328,3.06731,13.2635
MPC1,193.65,167.987,241.406
KXD1,57.1766,61.4041,60.2661
HSF1,118.162,121.206,140.892
AFT1,68.2527,76.5272,70.8891
MNP1,154.482,132.345,151.762
NPY1,54.472,50.1105,61.8735
SGF73,84.2626,58.4544,128.755
PUS2,14.0006,6.22198,23.5869
PYC1,812.285,637.163,1188.78
YBP2,33.9042,33.373,40.1959
PKP2,239.323,252.294,293.872
RAD6,203.744,277.607,148.911
OLE1,271.761,253.217,254.577
PRM8,77.4255,88.7676,82.3547
MST27,14.2178,14.0184,15.1547
tR(UCU)G1,0,0,0
TYW3,70.3243,81.5062,63.979
ALG13,37.7242,38.2418,39.5607
RIM8,54.3653,63.1486,60.4815
DST1,131.639,176.119,97.7216
YGL041W-A,146.118,152.74,152.813
SUP54,0,0,0
YGL039W,63.5488,77.6474,55.6195
YGL036W,65.4267,59.8988,82.4618
HOP2,4.86902,8.61443,1.68471
RPL30,1246.27,630.994,248.864
CGR1,155.772,224.28,80.6273
STT3,139.676,148.962,129.034
ALK1,123.324,189.583,86.0085
CKB1,105.366,121.338,82.3007
ATE1,30.4732,40.0703,25.4303
